# RFI station list — official station names, the single source shared by iOS and backend.
#
# Source:    https://iechub.rfi.it/ArriviPartenze/ — the <select name="PlaceId"> station picker,
#            RFI's own authoritative list (same ids the live monitor uses).
# Extracted: 2026-08-31
# Entries:   2435 at extraction time.
#
# THIS IS A DATED SNAPSHOT, NOT A PERPETUAL TRUTH. Nothing guarantees RFI's
# list is stable, so the entry count is not a constant to rely on. Never assert
# the count in a test — assert properties (uniqueness, injectivity, known
# anchors). A count assertion proves nothing while it passes and breaks on any
# upstream change.
#
# Names are RFI's, verbatim, with ONE typographic normalization: where RFI
# types a backtick standing in for an apostrophe, it becomes an apostrophe
# (so "CITTA DI CASTELLO" carries a real apostrophe after CITTA).
# Structure is never touched — spacing, hyphens and slashes stay as RFI writes
# them. Regenerate with tools/generate-rfi-stations-tsv.mjs; never hand-edit.
#
# placeId	name
364	ABANO TERME
365	ABBADIA LARIANA
366	ABBASANTA
367	ABBIATEGRASSO
368	ACATE
369	ACCIANO
3612	ACERRA
371	ACIREALE
372	ACQUA ACETOSA
1	ACQUAFREDDA
373	ACQUAMELA
374	ACQUANEGRA CREMONESE
2	ACQUAPPESA
5453	ACQUASPARTA
376	ACQUAVIVA CASTELTERMINI
377	ACQUAVIVA DELLE FONTI
2499	ACQUEDOLCI-S.FRATELLO
188	ACQUI TERME
378	ADRIA
3614	AFRAGOLA ZONA COMMERCIALE
4	AFRICO NUOVO
379	AGLIANO CASTELNUOVO CALCEA
3252	AGOGNATE
383	AGRIGENTO BASSA
384	AGRIGENTO CENTRALE
5	AGROPOLI CASTELLABATE
386	AIELLI
387	AIRASCA
189	AIROLE
388	AIRUNO
389	ALA
390	ALANNO
391	ALANO FENER VALDOBBIADENE
190	ALASSIO
392	ALBA
393	ALBA ADRIATICA-NERETO-CONTROGUERRA
394	ALBACINA
779	ALBAIRATE-VERMEZZO
395	ALBANO DI LUCANIA
396	ALBANO LAZIALE
397	ALBANO S.ALESSANDRO
398	ALBANOVA
399	ALBAREDO
401	ALBATE-TRECALLO
191	ALBENGA
404	ALBINIA
